HRR ID,HRR Name,State,Number of deaths among cancer patients (2012),Percent of cancer patients dying in hospital (2012),,,Percent of cancer patients admitted to hospital during the last month of life (2012 deaths),,,Hospital days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients admitted to intensive care during the last month of life (2012 deaths),,,ICU days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients receiving life-sustaining treatment during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last month of life (2012 deaths),,,Hospice days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last three days of life (2012 deaths),,,Percent of cancer patients seeing ten or more physicians during the last six months of life (2012 deaths),,
,,,,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
85,San Mateo County,CA,335,25.9 ,20.9 ,32.1 ,58.6 ,50.9 ,67.4 ,4.1 ,3.5 ,4.7 ,32.6 ,27.0 ,39.5 ,1.4 ,1.0 ,1.8 ,7.8 ,5.2 ,11.6 ,61.2 ,53.4 ,70.1 ,10.1 ,8.9 ,11.3 ,9.3 ,6.5 ,13.2 ,55.2 ,47.7 ,63.9 
86,Santa Barbara,CA,264,26.8 ,21.2 ,33.9 ,58.7 ,50.2 ,68.7 ,4.7 ,4.0 ,5.3 ,33.4 ,27.1 ,41.2 ,1.9 ,1.5 ,2.3 ,10.7 ,7.3 ,15.6 ,57.7 ,49.3 ,67.6 ,9.7 ,8.4 ,11.0 ,7.8 ,5.1 ,12.0 ,52.3 ,44.1 ,61.9 
87,Santa Cruz,CA,164,22.5 ,16.4 ,31.0 ,48.9 ,39.5 ,60.6 ,3.3 ,2.4 ,4.2 ,29.6 ,22.3 ,39.1 ,1.1 ,0.5 ,1.6 ,7.5 ,4.3 ,13.2 ,62.6 ,51.6 ,75.9 ,11.9 ,10.3 ,13.6 ,,,,52.9 ,42.4 ,66.0 
89,Santa Rosa,CA,278,27.7 ,22.1 ,34.8 ,62.8 ,54.1 ,72.8 ,4.6 ,3.9 ,5.2 ,33.1 ,26.9 ,40.7 ,1.4 ,1.0 ,1.9 ,8.5 ,5.6 ,13.0 ,58.3 ,50.0 ,67.9 ,8.5 ,7.2 ,9.8 ,13.1 ,9.5 ,18.1 ,54.1 ,45.9 ,63.7 
91,Stockton,CA,301,29.8 ,24.2 ,36.7 ,66.7 ,58.0 ,76.6 ,5.4 ,4.8 ,6.1 ,43.1 ,36.2 ,51.2 ,2.7 ,2.3 ,3.1 ,12.1 ,8.7 ,16.8 ,51.9 ,44.3 ,60.7 ,7.3 ,6.0 ,8.5 ,10.7 ,7.6 ,15.1 ,50.6 ,43.1 ,59.3 
96,Ventura,CA,454,26.6 ,22.2 ,31.8 ,59.6 ,52.9 ,67.1 ,4.5 ,4.0 ,5.0 ,33.8 ,28.8 ,39.6 ,1.7 ,1.4 ,2.0 ,8.8 ,6.4 ,12.0 ,64.2 ,57.2 ,72.0 ,9.1 ,8.1 ,10.1 ,11.5 ,8.8 ,15.1 ,60.7 ,53.9 ,68.4 
101,Boulder,CO,95,15.1 ,9.0 ,25.5 ,53.4 ,40.6 ,70.3 ,3.4 ,2.3 ,4.6 ,22.9 ,14.9 ,35.2 ,0.9 ,0.2 ,1.6 ,,,,73.8 ,58.6 ,93.0 ,12.8 ,10.5 ,15.0 ,,,,57.5 ,43.8 ,75.5 
102,Colorado Springs,CO,422,14.0 ,10.9 ,18.0 ,51.3 ,44.9 ,58.5 ,3.4 ,2.9 ,4.0 ,17.4 ,13.9 ,21.9 ,0.4 ,0.1 ,0.8 ,7.4 ,5.2 ,10.5 ,72.6 ,64.8 ,81.2 ,11.4 ,10.3 ,12.4 ,12.1 ,9.2 ,15.9 ,47.7 ,41.5 ,54.8 
103,Denver,CO,928,18.8 ,16.2 ,21.8 ,59.2 ,54.5 ,64.4 ,4.0 ,3.7 ,4.4 ,30.1 ,26.8 ,33.9 ,1.2 ,1.0 ,1.4 ,8.4 ,6.7 ,10.5 ,68.9 ,63.7 ,74.4 ,10.5 ,9.8 ,11.2 ,11.5 ,9.6 ,14.0 ,65.1 ,60.0 ,70.6 
104,Fort Collins,CO,185,18.6 ,13.3 ,25.9 ,56.0 ,46.3 ,67.7 ,3.4 ,2.6 ,4.2 ,23.1 ,17.1 ,31.2 ,0.6 ,0.1 ,1.1 ,,,,62.2 ,51.9 ,74.7 ,10.5 ,8.9 ,12.1 ,9.5 ,6.0 ,15.0 ,58.6 ,48.3 ,71.1 
